filename,beta,gamma,sim_id,num_rows,max_time,generated_at
b0.10_g0.30_sim11.csv,0.1,0.30000000000000004,11,23,22.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim12.csv,0.1,0.30000000000000004,12,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim13.csv,0.1,0.30000000000000004,13,17,16.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim14.csv,0.1,0.30000000000000004,14,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim15.csv,0.1,0.30000000000000004,15,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim16.csv,0.1,0.30000000000000004,16,21,20.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim17.csv,0.1,0.30000000000000004,17,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim18.csv,0.1,0.30000000000000004,18,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim19.csv,0.1,0.30000000000000004,19,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim20.csv,0.1,0.30000000000000004,20,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim21.csv,0.1,0.30000000000000004,21,21,20.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim22.csv,0.1,0.30000000000000004,22,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim23.csv,0.1,0.30000000000000004,23,20,19.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim24.csv,0.1,0.30000000000000004,24,31,30.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim25.csv,0.1,0.30000000000000004,25,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim26.csv,0.1,0.30000000000000004,26,17,16.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim27.csv,0.1,0.30000000000000004,27,29,28.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim28.csv,0.1,0.30000000000000004,28,26,25.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim29.csv,0.1,0.30000000000000004,29,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim30.csv,0.1,0.30000000000000004,30,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim31.csv,0.1,0.30000000000000004,31,19,18.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim32.csv,0.1,0.30000000000000004,32,21,20.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim33.csv,0.1,0.30000000000000004,33,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim34.csv,0.1,0.30000000000000004,34,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim35.csv,0.1,0.30000000000000004,35,20,19.0,2025-04-07T21:22:44.761847
